externalOrderId,externalCustomerId,customerEmail,customerPhone,orderDate,orderValue,currency,category,productName,quantity,status
ADI-ORD-00001-01,ADI-CUST-00001,kiara.mehta.1@adidas.demo,9100000001,2026-05-26,1967,INR,Training Gear,Ultraboost Running Shoes,1,COMPLETED
ADI-ORD-00001-02,ADI-CUST-00001,kiara.mehta.1@adidas.demo,9100000001,2025-08-06,1417,INR,Running Shoes,Gym Duffel Bag,3,COMPLETED
ADI-ORD-00001-03,ADI-CUST-00001,kiara.mehta.1@adidas.demo,9100000001,2025-07-13,6945,INR,Running Shoes,Football Jersey,3,COMPLETED
ADI-ORD-00001-04,ADI-CUST-00001,kiara.mehta.1@adidas.demo,9100000001,2025-10-24,6027,INR,Training Gear,Adilette Slides,2,COMPLETED
ADI-ORD-00001-05,ADI-CUST-00001,kiara.mehta.1@adidas.demo,9100000001,2025-04-24,2507,INR,Sneakers,Running Shorts,3,COMPLETED
ADI-ORD-00002-01,ADI-CUST-00002,dev.kumar.2@adidas.demo,9100000002,2026-05-19,7177,INR,Sportswear,Running Shorts,2,COMPLETED
ADI-ORD-00002-02,ADI-CUST-00002,dev.kumar.2@adidas.demo,9100000002,2025-11-29,1845,INR,Accessories,Ultraboost Running Shoes,3,COMPLETED
ADI-ORD-00002-03,ADI-CUST-00002,dev.kumar.2@adidas.demo,9100000002,2025-07-24,6266,INR,Sportswear,Running Shorts,2,COMPLETED
ADI-ORD-00002-04,ADI-CUST-00002,dev.kumar.2@adidas.demo,9100000002,2025-06-15,1769,INR,Accessories,Adilette Slides,1,COMPLETED
ADI-ORD-00002-05,ADI-CUST-00002,dev.kumar.2@adidas.demo,9100000002,2026-01-13,1853,INR,Running Shoes,Running Shorts,1,COMPLETED
ADI-ORD-00003-01,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2025-07-20,2601,INR,Sneakers,Gym Duffel Bag,3,COMPLETED
ADI-ORD-00003-02,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2025-10-17,4308,INR,Running Shoes,Adilette Slides,2,COMPLETED
ADI-ORD-00003-03,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2025-06-25,3856,INR,Accessories,Adilette Slides,1,COMPLETED
ADI-ORD-00003-04,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2026-05-25,7794,INR,Running Shoes,Running Shorts,2,COMPLETED
ADI-ORD-00003-05,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2026-05-08,2928,INR,Training Gear,Training Tracksuit,3,COMPLETED
ADI-ORD-00003-06,ADI-CUST-00003,kabir.gupta.3@adidas.demo,9100000003,2025-07-10,5289,INR,Sportswear,Adilette Slides,2,COMPLETED
ADI-ORD-00004-01,ADI-CUST-00004,kiara.patel.4@adidas.demo,9100000004,2026-04-01,5374,INR,Sportswear,Adilette Slides,2,COMPLETED
