externalCustomerId,firstName,lastName,email,phone,city,state,preferredChannel,loyaltyTier,consentWhatsApp,consentSms,consentEmail,consentRcs
MYN-CUST-00001,Aryan,Saxena,aryan.saxena.1@myntra.demo,9300000001,Pune,Maharashtra,SMS,BRONZE,True,True,True,False
MYN-CUST-00002,Pooja,Jain,pooja.jain.2@myntra.demo,9300000002,Bangalore,Karnataka,WHATSAPP,GOLD,True,False,True,True
MYN-CUST-00003,Dev,Saxena,dev.saxena.3@myntra.demo,9300000003,Kolkata,West Bengal,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00004,Simran,Kumar,simran.kumar.4@myntra.demo,9300000004,Kolkata,West Bengal,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00005,Aryan,Kapoor,aryan.kapoor.5@myntra.demo,9300000005,Hyderabad,Telangana,EMAIL,GOLD,True,True,True,True
MYN-CUST-00006,Samar,Mehta,samar.mehta.6@myntra.demo,9300000006,Mumbai,Maharashtra,WHATSAPP,BRONZE,True,True,True,True
MYN-CUST-00007,Sneha,Iyer,sneha.iyer.7@myntra.demo,9300000007,Delhi,Delhi,WHATSAPP,BRONZE,True,False,True,True
MYN-CUST-00008,Aman,Singh,aman.singh.8@myntra.demo,9300000008,Mumbai,Maharashtra,EMAIL,BRONZE,True,True,True,True
MYN-CUST-00009,Meera,Kumar,meera.kumar.9@myntra.demo,9300000009,Kolkata,West Bengal,SMS,BRONZE,True,True,True,False
MYN-CUST-00010,Aman,Jain,aman.jain.10@myntra.demo,9300000010,Hyderabad,Telangana,WHATSAPP,SILVER,True,True,False,True
MYN-CUST-00011,Kiara,Verma,kiara.verma.11@myntra.demo,9300000011,Kolkata,West Bengal,WHATSAPP,BRONZE,True,False,True,False
MYN-CUST-00012,Yash,Kumar,yash.kumar.12@myntra.demo,9300000012,Hyderabad,Telangana,WHATSAPP,BRONZE,False,True,True,False
MYN-CUST-00013,Dev,Kapoor,dev.kapoor.13@myntra.demo,9300000013,Hyderabad,Telangana,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00014,Neha,Saxena,neha.saxena.14@myntra.demo,9300000014,Hyderabad,Telangana,SMS,GOLD,True,True,True,True
MYN-CUST-00015,Yash,Sharma,yash.sharma.15@myntra.demo,9300000015,Delhi,Delhi,WHATSAPP,BRONZE,True,True,True,True
MYN-CUST-00016,Tanya,Malhotra,tanya.malhotra.16@myntra.demo,9300000016,Mumbai,Maharashtra,RCS,BRONZE,True,True,True,True
MYN-CUST-00017,Karan,Sharma,karan.sharma.17@myntra.demo,9300000017,Mumbai,Maharashtra,WHATSAPP,GOLD,True,True,True,False
MYN-CUST-00018,Ananya,Saxena,ananya.saxena.18@myntra.demo,9300000018,Kolkata,West Bengal,EMAIL,SILVER,True,True,True,True
MYN-CUST-00019,Riya,Verma,riya.verma.19@myntra.demo,9300000019,Mumbai,Maharashtra,EMAIL,SILVER,True,True,True,False
MYN-CUST-00020,Pooja,Singh,pooja.singh.20@myntra.demo,9300000020,Bangalore,Karnataka,WHATSAPP,BRONZE,True,True,False,True
MYN-CUST-00021,Meera,Iyer,meera.iyer.21@myntra.demo,9300000021,Bangalore,Karnataka,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00022,Kabir,Das,kabir.das.22@myntra.demo,9300000022,Bangalore,Karnataka,RCS,BRONZE,True,False,True,False
MYN-CUST-00023,Tanya,Das,tanya.das.23@myntra.demo,9300000023,Kolkata,West Bengal,WHATSAPP,BRONZE,True,False,True,False
MYN-CUST-00024,Riya,Nair,riya.nair.24@myntra.demo,9300000024,Mumbai,Maharashtra,EMAIL,BRONZE,True,True,True,False
MYN-CUST-00025,Samar,Singh,samar.singh.25@myntra.demo,9300000025,Ahmedabad,Gujarat,SMS,SILVER,True,True,False,False
MYN-CUST-00026,Ananya,Jain,ananya.jain.26@myntra.demo,9300000026,Chennai,Tamil Nadu,EMAIL,BRONZE,True,False,True,False
MYN-CUST-00027,Meera,Mehta,meera.mehta.27@myntra.demo,9300000027,Hyderabad,Telangana,WHATSAPP,GOLD,True,False,True,True
MYN-CUST-00028,Priya,Sharma,priya.sharma.28@myntra.demo,9300000028,Kolkata,West Bengal,WHATSAPP,SILVER,True,False,False,True
MYN-CUST-00029,Kabir,Jain,kabir.jain.29@myntra.demo,9300000029,Delhi,Delhi,WHATSAPP,BRONZE,True,True,True,True
MYN-CUST-00030,Samar,Malhotra,samar.malhotra.30@myntra.demo,9300000030,Ahmedabad,Gujarat,SMS,BRONZE,True,True,True,False
MYN-CUST-00031,Dev,Das,dev.das.31@myntra.demo,9300000031,Mumbai,Maharashtra,SMS,PLATINUM,True,True,False,False
MYN-CUST-00032,Sneha,Mehta,sneha.mehta.32@myntra.demo,9300000032,Pune,Maharashtra,WHATSAPP,SILVER,True,True,False,True
MYN-CUST-00033,Yash,Nair,yash.nair.33@myntra.demo,9300000033,Bangalore,Karnataka,WHATSAPP,GOLD,True,False,True,False
MYN-CUST-00034,Neha,Das,neha.das.34@myntra.demo,9300000034,Bangalore,Karnataka,WHATSAPP,BRONZE,True,True,False,False
MYN-CUST-00035,Ishaan,Nair,ishaan.nair.35@myntra.demo,9300000035,Ahmedabad,Gujarat,EMAIL,BRONZE,True,True,True,False
MYN-CUST-00036,Arjun,Verma,arjun.verma.36@myntra.demo,9300000036,Delhi,Delhi,WHATSAPP,SILVER,True,True,True,False
MYN-CUST-00037,Rahul,Kumar,rahul.kumar.37@myntra.demo,9300000037,Bangalore,Karnataka,WHATSAPP,SILVER,True,True,True,True
MYN-CUST-00038,Tanya,Reddy,tanya.reddy.38@myntra.demo,9300000038,Ahmedabad,Gujarat,SMS,BRONZE,True,True,True,True
MYN-CUST-00039,Kabir,Saxena,kabir.saxena.39@myntra.demo,9300000039,Pune,Maharashtra,RCS,SILVER,True,True,True,False
MYN-CUST-00040,Kabir,Verma,kabir.verma.40@myntra.demo,9300000040,Mumbai,Maharashtra,SMS,SILVER,True,True,True,False
MYN-CUST-00041,Samar,Jain,samar.jain.41@myntra.demo,9300000041,Chennai,Tamil Nadu,RCS,BRONZE,True,True,True,False
MYN-CUST-00042,Ishaan,Singh,ishaan.singh.42@myntra.demo,9300000042,Kolkata,West Bengal,SMS,SILVER,False,True,True,True
MYN-CUST-00043,Aryan,Mehta,aryan.mehta.43@myntra.demo,9300000043,Mumbai,Maharashtra,SMS,PLATINUM,True,True,True,True
MYN-CUST-00044,Rahul,Singh,rahul.singh.44@myntra.demo,9300000044,Chennai,Tamil Nadu,WHATSAPP,BRONZE,True,True,True,True
MYN-CUST-00045,Tanya,Saxena,tanya.saxena.45@myntra.demo,9300000045,Kolkata,West Bengal,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00046,Karan,Bose,karan.bose.46@myntra.demo,9300000046,Hyderabad,Telangana,EMAIL,BRONZE,True,True,True,True
MYN-CUST-00047,Ishaan,Iyer,ishaan.iyer.47@myntra.demo,9300000047,Hyderabad,Telangana,SMS,BRONZE,True,True,True,False
MYN-CUST-00048,Karan,Reddy,karan.reddy.48@myntra.demo,9300000048,Kolkata,West Bengal,WHATSAPP,BRONZE,True,True,True,False
MYN-CUST-00049,Karan,Nair,karan.nair.49@myntra.demo,9300000049,Hyderabad,Telangana,WHATSAPP,GOLD,True,True,True,False
MYN-CUST-00050,Nisha,Sharma,nisha.sharma.50@myntra.demo,9300000050,Kolkata,West Bengal,SMS,PLATINUM,True,True,False,False
MYN-CUST-00051,Varun,Nair,varun.nair.51@myntra.demo,9300000051,Chennai,Tamil Nadu,SMS,SILVER,True,True,True,True
MYN-CUST-00052,Priya,Reddy,priya.reddy.52@myntra.demo,9300000052,Delhi,Delhi,EMAIL,BRONZE,True,True,False,False
MYN-CUST-00053,Aryan,Iyer,aryan.iyer.53@myntra.demo,9300000053,Hyderabad,Telangana,WHATSAPP,SILVER,True,True,False,False
MYN-CUST-00054,Aryan,Iyer,aryan.iyer.54@myntra.demo,9300000054,Kolkata,West Bengal,WHATSAPP,BRONZE,False,False,False,True
MYN-CUST-00055,Ananya,Gupta,ananya.gupta.55@myntra.demo,9300000055,Bangalore,Karnataka,EMAIL,SILVER,True,False,False,False
