externalOrderId,externalCustomerId,customerEmail,customerPhone,orderDate,orderValue,currency,category,productName,quantity,status
MYN-ORD-00001-01,MYN-CUST-00001,aryan.saxena.1@myntra.demo,9300000001,2025-08-13,7349,INR,Accessories,Printed Kurta,2,COMPLETED
MYN-ORD-00001-02,MYN-CUST-00001,aryan.saxena.1@myntra.demo,9300000001,2026-04-03,6237,INR,Sneakers,Summer Floral Dress,1,COMPLETED
MYN-ORD-00001-03,MYN-CUST-00001,aryan.saxena.1@myntra.demo,9300000001,2025-08-16,3239,INR,Ethnic Wear,Summer Floral Dress,2,COMPLETED
MYN-ORD-00001-04,MYN-CUST-00001,aryan.saxena.1@myntra.demo,9300000001,2025-09-30,5929,INR,Sneakers,Printed Kurta,2,COMPLETED
MYN-ORD-00001-05,MYN-CUST-00001,aryan.saxena.1@myntra.demo,9300000001,2025-09-20,2191,INR,Denim,Summer Floral Dress,1,COMPLETED
MYN-ORD-00002-01,MYN-CUST-00002,pooja.jain.2@myntra.demo,9300000002,2026-05-08,2649,INR,Ethnic Wear,Summer Floral Dress,1,COMPLETED
MYN-ORD-00003-01,MYN-CUST-00003,dev.saxena.3@myntra.demo,9300000003,2025-07-02,3920,INR,Dresses,Leather Handbag,3,COMPLETED
MYN-ORD-00004-01,MYN-CUST-00004,simran.kumar.4@myntra.demo,9300000004,2025-11-03,7333,INR,Sneakers,Premium Blazer,3,COMPLETED
MYN-ORD-00005-01,MYN-CUST-00005,aryan.kapoor.5@myntra.demo,9300000005,2026-03-08,2199,INR,Dresses,Summer Floral Dress,1,COMPLETED
MYN-ORD-00005-02,MYN-CUST-00005,aryan.kapoor.5@myntra.demo,9300000005,2025-11-01,3346,INR,Sneakers,Leather Handbag,3,COMPLETED
MYN-ORD-00005-03,MYN-CUST-00005,aryan.kapoor.5@myntra.demo,9300000005,2025-06-19,754,INR,Premium Wear,Casual Sneakers,3,COMPLETED
MYN-ORD-00005-04,MYN-CUST-00005,aryan.kapoor.5@myntra.demo,9300000005,2026-04-01,1977,INR,Ethnic Wear,Premium Blazer,2,COMPLETED
MYN-ORD-00006-01,MYN-CUST-00006,samar.mehta.6@myntra.demo,9300000006,2025-08-25,1760,INR,Premium Wear,Leather Handbag,1,COMPLETED
MYN-ORD-00006-02,MYN-CUST-00006,samar.mehta.6@myntra.demo,9300000006,2025-11-17,4076,INR,Dresses,Premium Blazer,1,COMPLETED
MYN-ORD-00006-03,MYN-CUST-00006,samar.mehta.6@myntra.demo,9300000006,2025-05-28,4854,INR,Sneakers,Premium Blazer,1,COMPLETED
MYN-ORD-00007-01,MYN-CUST-00007,sneha.iyer.7@myntra.demo,9300000007,2025-11-29,1745,INR,Dresses,Casual Sneakers,3,COMPLETED
MYN-ORD-00007-02,MYN-CUST-00007,sneha.iyer.7@myntra.demo,9300000007,2025-07-06,6655,INR,Dresses,Summer Floral Dress,3,COMPLETED
MYN-ORD-00008-01,MYN-CUST-00008,aman.singh.8@myntra.demo,9300000008,2025-09-19,3703,INR,Ethnic Wear,Slim Fit Denim,1,COMPLETED
MYN-ORD-00008-02,MYN-CUST-00008,aman.singh.8@myntra.demo,9300000008,2026-02-06,6604,INR,Sneakers,Slim Fit Denim,3,COMPLETED
MYN-ORD-00009-01,MYN-CUST-00009,meera.kumar.9@myntra.demo,9300000009,2025-11-03,7096,INR,Accessories,Printed Kurta,1,COMPLETED
MYN-ORD-00009-02,MYN-CUST-00009,meera.kumar.9@myntra.demo,9300000009,2025-08-16,4794,INR,Sneakers,Casual Sneakers,2,COMPLETED
MYN-ORD-00009-03,MYN-CUST-00009,meera.kumar.9@myntra.demo,9300000009,2026-01-24,2024,INR,Denim,Slim Fit Denim,3,COMPLETED
MYN-ORD-00010-01,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2025-07-19,5720,INR,Accessories,Leather Handbag,2,COMPLETED
MYN-ORD-00010-02,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2025-10-12,7402,INR,Sneakers,Leather Handbag,1,COMPLETED
MYN-ORD-00010-03,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2025-05-10,1354,INR,Ethnic Wear,Printed Kurta,2,COMPLETED
MYN-ORD-00010-04,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2025-11-26,3911,INR,Premium Wear,Slim Fit Denim,2,COMPLETED
MYN-ORD-00010-05,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2026-05-08,2791,INR,Ethnic Wear,Leather Handbag,2,COMPLETED
MYN-ORD-00010-06,MYN-CUST-00010,aman.jain.10@myntra.demo,9300000010,2025-12-03,7051,INR,Denim,Slim Fit Denim,1,COMPLETED
MYN-ORD-00011-01,MYN-CUST-00011,kiara.verma.11@myntra.demo,9300000011,2026-03-21,2963,INR,Premium Wear,Casual Sneakers,2,COMPLETED
MYN-ORD-00011-02,MYN-CUST-00011,kiara.verma.11@myntra.demo,9300000011,2025-11-21,4157,INR,Ethnic Wear,Premium Blazer,3,COMPLETED
MYN-ORD-00011-03,MYN-CUST-00011,kiara.verma.11@myntra.demo,9300000011,2026-02-11,3369,INR,Ethnic Wear,Linen Shirt,1,COMPLETED
MYN-ORD-00011-04,MYN-CUST-00011,kiara.verma.11@myntra.demo,9300000011,2025-06-18,6247,INR,Accessories,Leather Handbag,3,COMPLETED
MYN-ORD-00011-05,MYN-CUST-00011,kiara.verma.11@myntra.demo,9300000011,2025-05-16,5792,INR,Denim,Slim Fit Denim,3,COMPLETED
MYN-ORD-00012-01,MYN-CUST-00012,yash.kumar.12@myntra.demo,9300000012,2025-12-19,4489,INR,Ethnic Wear,Summer Floral Dress,1,COMPLETED
MYN-ORD-00012-02,MYN-CUST-00012,yash.kumar.12@myntra.demo,9300000012,2025-10-19,5882,INR,Sneakers,Linen Shirt,3,COMPLETED
MYN-ORD-00013-01,MYN-CUST-00013,dev.kapoor.13@myntra.demo,9300000013,2026-05-28,3982,INR,Premium Wear,Leather Handbag,1,COMPLETED
MYN-ORD-00013-02,MYN-CUST-00013,dev.kapoor.13@myntra.demo,9300000013,2025-09-08,1805,INR,Denim,Linen Shirt,2,COMPLETED
MYN-ORD-00014-01,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2025-09-27,1282,INR,Sneakers,Linen Shirt,1,COMPLETED
MYN-ORD-00014-02,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2025-09-20,5972,INR,Denim,Premium Blazer,1,COMPLETED
MYN-ORD-00014-03,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2026-04-26,839,INR,Premium Wear,Printed Kurta,1,COMPLETED
MYN-ORD-00014-04,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2025-04-24,2305,INR,Dresses,Printed Kurta,2,COMPLETED
MYN-ORD-00014-05,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2026-05-11,4462,INR,Sneakers,Printed Kurta,3,COMPLETED
MYN-ORD-00014-06,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2025-05-11,633,INR,Sneakers,Premium Blazer,1,COMPLETED
MYN-ORD-00014-07,MYN-CUST-00014,neha.saxena.14@myntra.demo,9300000014,2025-07-31,4070,INR,Ethnic Wear,Leather Handbag,2,COMPLETED
MYN-ORD-00015-01,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2025-05-13,3039,INR,Sneakers,Leather Handbag,2,COMPLETED
MYN-ORD-00015-02,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2025-12-27,5862,INR,Denim,Slim Fit Denim,2,COMPLETED
MYN-ORD-00015-03,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2025-08-18,7410,INR,Sneakers,Linen Shirt,3,COMPLETED
MYN-ORD-00015-04,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2025-06-16,3029,INR,Sneakers,Printed Kurta,2,COMPLETED
MYN-ORD-00015-05,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2025-04-19,2166,INR,Denim,Slim Fit Denim,3,COMPLETED
MYN-ORD-00015-06,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2026-03-31,6728,INR,Dresses,Printed Kurta,3,COMPLETED
MYN-ORD-00015-07,MYN-CUST-00015,yash.sharma.15@myntra.demo,9300000015,2026-01-08,692,INR,Accessories,Linen Shirt,1,COMPLETED
MYN-ORD-00016-01,MYN-CUST-00016,tanya.malhotra.16@myntra.demo,9300000016,2025-11-13,4298,INR,Dresses,Leather Handbag,3,COMPLETED
MYN-ORD-00016-02,MYN-CUST-00016,tanya.malhotra.16@myntra.demo,9300000016,2025-06-26,5111,INR,Dresses,Printed Kurta,1,COMPLETED
MYN-ORD-00016-03,MYN-CUST-00016,tanya.malhotra.16@myntra.demo,9300000016,2026-02-18,5515,INR,Sneakers,Casual Sneakers,1,COMPLETED
MYN-ORD-00016-04,MYN-CUST-00016,tanya.malhotra.16@myntra.demo,9300000016,2025-11-23,1480,INR,Dresses,Summer Floral Dress,1,COMPLETED
MYN-ORD-00017-01,MYN-CUST-00017,karan.sharma.17@myntra.demo,9300000017,2026-02-12,2829,INR,Sneakers,Slim Fit Denim,2,COMPLETED
