externalOrderId,externalCustomerId,customerEmail,customerPhone,orderDate,orderValue,currency,category,productName,quantity,status
NYK-ORD-00001-01,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2025-05-20,1437,INR,Makeup,Kajal Pencil,2,COMPLETED
NYK-ORD-00001-02,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2025-06-14,2701,INR,Skincare,Repair Shampoo,1,COMPLETED
NYK-ORD-00001-03,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2025-08-25,2934,INR,Haircare,Matte Lipstick,2,COMPLETED
NYK-ORD-00001-04,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2026-03-06,2584,INR,Makeup,Sheet Mask,1,COMPLETED
NYK-ORD-00001-05,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2026-01-29,3951,INR,Makeup,Hydrating Face Cream,2,COMPLETED
NYK-ORD-00001-06,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2025-12-11,5090,INR,Skincare,Repair Shampoo,2,COMPLETED
NYK-ORD-00001-07,NYK-CUST-00001,neha.sharma.1@nykaa.demo,9200000001,2025-07-17,4634,INR,Haircare,Sheet Mask,2,COMPLETED
NYK-ORD-00002-01,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2025-12-17,4476,INR,Haircare,Matte Lipstick,3,COMPLETED
NYK-ORD-00002-02,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2025-09-21,2076,INR,Haircare,Vitamin C Serum,2,COMPLETED
NYK-ORD-00002-03,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2026-01-28,607,INR,Makeup,Repair Shampoo,1,COMPLETED
NYK-ORD-00002-04,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2025-07-22,1877,INR,Wellness,Kajal Pencil,2,COMPLETED
NYK-ORD-00002-05,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2025-08-14,2995,INR,Makeup,Repair Shampoo,2,COMPLETED
NYK-ORD-00002-06,NYK-CUST-00002,kiara.reddy.2@nykaa.demo,9200000002,2025-07-08,5170,INR,Wellness,Repair Shampoo,1,COMPLETED
NYK-ORD-00003-01,NYK-CUST-00003,nisha.mehta.3@nykaa.demo,9200000003,2025-10-14,4829,INR,Haircare,Matte Lipstick,1,COMPLETED
NYK-ORD-00003-02,NYK-CUST-00003,nisha.mehta.3@nykaa.demo,9200000003,2025-04-22,5401,INR,Skincare,Repair Shampoo,2,COMPLETED
NYK-ORD-00003-03,NYK-CUST-00003,nisha.mehta.3@nykaa.demo,9200000003,2025-06-20,3913,INR,Wellness,Floral Perfume,3,COMPLETED
NYK-ORD-00004-01,NYK-CUST-00004,tanya.saxena.4@nykaa.demo,9200000004,2025-11-07,3838,INR,Wellness,Vitamin C Serum,2,COMPLETED
NYK-ORD-00004-02,NYK-CUST-00004,tanya.saxena.4@nykaa.demo,9200000004,2025-08-11,583,INR,Wellness,Repair Shampoo,1,COMPLETED
NYK-ORD-00005-01,NYK-CUST-00005,simran.reddy.5@nykaa.demo,9200000005,2026-05-14,1090,INR,Haircare,Sheet Mask,2,COMPLETED
